ID,SMILES,MolecularWeight,LogP,NumHBD,NumHBA,PSA,NumRotatableBonds,QED,NumChiralCenters
UT002455,CCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(C)=O,838.2,12.68,3.0,10.0,151.4,42.0,0.03,3.0
UT002387,CCCCCCCCC/C=C/CC/C=C/[C@H](O)[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)N=C(O)CCCCCCCCCCCCCCCCCCC,757.1,11.96,2.0,8.0,111.4,39.0,0.02,3.0
UT002384,CCCCCCCCCCCCC/C=C/[C@H](O)[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)N=C(O)CCCCCCCCCCCCCCCCCCCCCCC,815.3,13.74,2.0,8.0,111.4,44.0,0.02,3.0
UT002379,CCCCCCCCCCCCC/C=C/[C@H](O)[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)N=C(O)CCCCCCCCCCCCCCCCCCCC,773.2,12.57,2.0,8.0,111.4,41.0,0.02,3.0
UT002355,CCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(CO)COP(=O)([O-])OCC[N+](C)(C)C,571.7,6.02,1.0,8.0,105.1,25.0,0.05,2.0
UT002342,CCCCCCCCCCCC/C=C\CCC(=O)OC(CO)COP(=O)([O-])OCC[N+](C)(C)C,507.6,4.75,1.0,8.0,105.1,23.0,0.07,2.0
UT002294,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\CCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,818.1,11.77,0.0,9.0,111.2,38.0,0.02,2.0
UT002243,CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\CCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(C)=O,806.1,11.45,3.0,10.0,151.4,38.0,0.03,3.0
UT002231,CCCCCCCCCCCCC/C=C\CCC(=O)OC(CO)COP(=O)(O)O[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O,598.7,2.25,7.0,12.0,203.4,22.0,0.04,8.0
UT002212,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC(COP(=O)(O)OCC(O)CO)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC,871.1,12.33,3.0,10.0,148.8,40.0,0.02,3.0
UT002194,CCCCCCCCCC/C=C\C/C=C\CCCOCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\CCCCCCCCCCCCCCCCC,784.2,13.42,3.0,8.0,117.3,43.0,0.03,2.0
UT002182,CCCCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,734.1,12.53,3.0,8.0,117.3,42.0,0.04,2.0
UT002152,CCCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(CO/C=C/CCCCCCCCCCCCCC)COP(=O)(O)OCCN,780.1,13.32,3.0,8.0,117.3,41.0,0.02,2.0
UT002106,C=CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN,776.0,11.66,3.0,9.0,134.4,38.0,0.03,2.0
UT002068,CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,866.3,13.62,0.0,9.0,111.2,44.0,0.02,2.0
UT001914,CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(CO/C=C/CCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,778.1,13.09,3.0,8.0,117.3,40.0,0.02,2.0
UT001758,C=CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,818.1,11.77,0.0,9.0,111.2,39.0,0.02,2.0
UT001723,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\CCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(C)=O,832.1,12.01,3.0,10.0,151.4,39.0,0.03,3.0
UT001644,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC.CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1355.9,18.1,0.0,18.0,222.4,68.0,0.02,4.0
UT001488,CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\CCCCCCCCCCCCC)COP(=O)(O)O[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O,883.1,8.72,6.0,13.0,209.5,36.0,0.02,8.0
UT001097,CCCCCCCCCCCCCCCCCCOC(CO)COP(=O)([O-])OCC[N+](C)(C)C,509.7,5.83,1.0,7.0,88.1,26.0,0.09,2.0
UT001096,CCCCCCCCCCCCCCCCOC(CO)COP(=O)([O-])OCC[N+](C)(C)C,481.7,5.05,1.0,7.0,88.1,24.0,0.12,2.0
UT001056,CCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\CCCCCCCCCC.CCCCCCC/C=C\C/C=C\C/C=C\CCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\CCCCCCC,1556.1,21.66,0.0,18.0,222.4,72.0,0.01,4.0
UT000563,CCCCCCCCCCCCC/C=C\CCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CC/C=C\CCCCCCCCCCCCC,873.4,17.93,0.0,6.0,78.9,50.0,0.03,1.0
UT000562,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,779.3,15.65,0.0,6.0,78.9,45.0,0.03,1.0
UT000561,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,807.3,16.43,0.0,6.0,78.9,47.0,0.03,0.0
UT000560,CCCCCCCCCCC/C=C\CCC(=O)OC(COC(=O)CC/C=C\CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC,803.3,15.98,0.0,6.0,78.9,45.0,0.03,1.0
UT000559,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OCC(COC(=O)CC/C=C\CCCCCCCCCCCCC)OC(=O)CC/C=C\C/C=C\CCCCCCCCCC,881.4,17.65,0.0,6.0,78.9,48.0,0.03,1.0
UT000558,CCCCCCCCCCCCC/C=C\CCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,833.4,16.98,0.0,6.0,78.9,48.0,0.03,1.0
UT000557,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OCC(COC(=O)CCCCCCCCCCCCCC)OC(=O)CC/C=C\CCCCCCCCCCCCC,843.4,16.93,0.0,6.0,78.9,47.0,0.03,1.0
UT000556,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OCC(COC(=O)CCC)OC(=O)CCCCCCCCCCCCCCC,663.0,12.08,0.0,6.0,78.9,35.0,0.03,1.0
UT000555,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC,719.1,13.64,0.0,6.0,78.9,39.0,0.03,1.0
UT000554,CCCCCCCCCCCC/C=C\CCC(=O)OCC(COC(=O)CC/C=C\CCCCCCCCCCCCC)OC(=O)CC/C=C\CCCCCCCCCCCCC,871.4,17.71,0.0,6.0,78.9,49.0,0.03,1.0
UT000552,CCCCCCCCCCCCC/C=C\CCC(=O)OCC(COC(=O)CCCCCCCCCCCCCC)OC(=O)CC/C=C\CCCCCCCCCCCCC,845.4,17.15,0.0,6.0,78.9,48.0,0.03,1.0
UT000551,CCCCCCC/C=C\C/C=C\C/C=C\CCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CC/C=C\CCCCCCCCCCC,799.3,15.53,0.0,6.0,78.9,43.0,0.03,1.0
UT000550,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OCC(COC(=O)CC/C=C\CCCCCCCCCCCC)OC(=O)CC/C=C\C/C=C\CCCCCCCCCC,867.4,17.26,0.0,6.0,78.9,47.0,0.03,1.0
UT000549,CCCCCCCCCCCCC/C=C\CCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CC/C=C\CCCCCCCCCCCCC,859.4,17.54,0.0,6.0,78.9,49.0,0.03,1.0
UT000545,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CC/C=C\C/C=C\CCCCCCCCCC,799.3,15.53,0.0,6.0,78.9,43.0,0.03,1.0
UT000544,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OCC(COC(=O)CC/C=C\CCCCCCCCCCC)OC(=O)CC/C=C\C/C=C\CCCCCCCCCC,853.4,16.87,0.0,6.0,78.9,46.0,0.03,1.0
UT000542,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,747.2,14.42,0.0,6.0,78.9,41.0,0.03,1.0
UT000540,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,835.4,17.21,0.0,6.0,78.9,49.0,0.03,1.0
UT000539,CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CC/C=C\CCCCCCCCCCCCC,907.5,18.21,0.0,6.0,78.9,49.0,0.03,1.0
UT000537,CCCCCCCCCCCCC/C=C\CCC(=O)OCC(COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,819.4,16.59,0.0,6.0,78.9,47.0,0.03,1.0
