ID,SMILES,MolecularWeight,LogP,NumHBD,NumHBA,PSA,NumRotatableBonds,QED,NumChiralCenters
JP002462,O=C(O)[C@@H]1CSC(O)=N1,147.2,0.1,2.0,4.0,69.9,1.0,0.55,1.0
JP002461,CCOC(=O)[C@@H]1OC(C)(C)O[C@H]1C(=O)OCC,246.3,0.63,0.0,6.0,71.1,4.0,0.68,2.0
JP002460,C=C1O[C@@H](COC)[C@H](COC)O1,174.2,0.53,0.0,4.0,36.9,4.0,0.62,2.0
JP002459,CC=C1O[C@@H](COC)[C@H](COC)O1,188.2,0.92,0.0,4.0,36.9,4.0,0.66,2.0
JP002458,COC[C@@H]1OC(C(C)Br)O[C@H]1COC,269.1,1.17,0.0,4.0,36.9,5.0,0.7,3.0
JP002457,CC1(C)O[C@@H](CO)[C@H](CO)O1,162.2,-0.51,2.0,4.0,58.9,2.0,0.57,2.0
JP002456,COC[C@@H]1OC(C)(C)O[C@H]1COC,190.2,0.8,0.0,4.0,36.9,4.0,0.66,2.0
JP002455,O[C@@H](COCc1ccccc1)[C@@H](O)COCc1ccccc1,302.4,2.14,2.0,4.0,58.9,9.0,0.74,2.0
JP002454,COC[C@H](O)[C@@H](O)COC,150.2,-1.0,2.0,4.0,58.9,5.0,0.53,2.0
JP002453,COC[C@@H]1OC(CBr)O[C@H]1COC,255.1,0.78,0.0,4.0,36.9,5.0,0.68,2.0
JP002452,COC[C@@H]1OC(CCCl)O[C@H]1COC,224.7,1.02,0.0,4.0,36.9,6.0,0.63,2.0
JP002451,C=CC1O[C@@H](COC)[C@H](COC)O1,188.2,0.58,0.0,4.0,36.9,5.0,0.59,2.0
JP002450,Cc1ccc(S(=O)(=O)OC[C@@H]2OC(C)(C)O[C@H]2COS(=O)(=O)c2ccc(C)cc2)cc1,470.6,2.93,0.0,8.0,105.2,8.0,0.54,2.0
JP002449,CCOC(=O)CC(=O)CC[C@H](C)COCc1ccccc1,292.4,3.14,0.0,4.0,52.6,10.0,0.49,1.0
JP002448,CCOC(O)=N[C@@H](CSC(C)(C)C)C(C)=O,247.4,2.43,1.0,4.0,58.9,5.0,0.6,1.0
JP002447,COC(=O)C[C@H](O)CC[C@H](C)COCc1ccccc1,280.4,2.54,1.0,4.0,55.8,9.0,0.71,2.0
JP002444,CC(=O)[C@H]1CC(C)(C)[C@@H]2CCC3(OCCO3)[C@H]12,238.3,2.39,0.0,3.0,35.5,1.0,0.7,3.0
JP002443,COC(=O)[C@@H]1CC(C)(C)[C@H]2CCC(=O)[C@@H]12,210.3,1.8,0.0,3.0,43.4,1.0,0.62,3.0
JP002442,COC(=O)[C@H]1CC(C)(C)[C@H]2CCC3(OCCO3)[C@@H]12,254.3,1.97,0.0,4.0,44.8,1.0,0.67,3.0
JP002441,CC1(C)C[C@H](C(=O)O)[C@@H]2C(=O)CC[C@@H]21,196.2,1.71,1.0,3.0,54.4,1.0,0.69,3.0
JP002440,C=CCC(C)(OC)[C@H]1CC(C)(C)[C@@H]2CCC3(OCCO3)[C@@H]21,294.4,3.78,0.0,3.0,27.7,4.0,0.74,4.0
JP002439,COC(C)(CCO)[C@H]1CC(C)(C)[C@@H]2CCC(=O)[C@@H]21,254.4,2.42,1.0,3.0,46.5,4.0,0.84,4.0
JP002438,CC1=CCC23[C@H]1CC(C)(C)[C@@H]2CC[C@]3(C)O,220.4,3.53,1.0,1.0,20.2,0.0,0.62,4.0
JP002437,COC1(C)CCC23C(=O)CC[C@H]2C(C)(C)C[C@@H]13,236.4,3.2,0.0,2.0,26.3,1.0,0.7,4.0
JP002436,COC1(C)CCC23[C@H](C)CC[C@@H]2C(C)(C)C[C@H]13,236.4,4.26,0.0,1.0,9.2,1.0,0.66,5.0
JP002435,CC1=CCC23C(C)=CC[C@H]2C(C)(C)C[C@@H]13,202.3,4.34,0.0,0.0,0.0,0.0,0.51,3.0
JP002434,CC1=CCC23[C@H](C)CC[C@@H]2C(C)(C)C[C@@H]13,204.4,4.42,0.0,0.0,0.0,0.0,0.51,4.0
JP002433,CC1=CCC23[C@H](CC[C@@H]2C)C(C)(C)C[C@@H]13,204.4,4.42,0.0,0.0,0.0,0.0,0.51,4.0
JP002432,C#CC[C@@H](CCC(=C)C)O[Si](C)(C)C(C)(C)C,252.5,4.76,0.0,1.0,9.2,6.0,0.38,1.0
JP002430,COC(=O)C[C@H](CC[C@@H](C)CO)O[Si](C)(C)C(C)(C)C,304.5,3.35,1.0,4.0,55.8,8.0,0.55,2.0
JP002429,C=C(C)CC[C@H](CC=C(Br)Br)O[Si](C)(C)C(C)(C)C,412.3,6.75,0.0,1.0,9.2,7.0,0.33,1.0
JP002428,CC(C)(C)OC(=O)N1[C@H](C(=O)O)CSC1(C)C,261.3,2.16,1.0,5.0,66.8,1.0,0.78,1.0
JP002427,COCSC[C@@H](C(C)=O)N(COC)S(=O)(=O)c1ccc(C)cc1,361.5,1.88,0.0,6.0,72.9,10.0,0.47,1.0
JP002425,CCOC(=O)CC(O)CCC(C)CO,204.3,0.71,2.0,4.0,66.8,7.0,0.6,2.0
JP002424,C=C(C)CC[C@@H](CC(=O)OC)O[Si](C)(C)C(C)(C)C,286.5,4.3,0.0,3.0,35.5,7.0,0.4,1.0
JP002423,C=C[C@@H](C)CCC(O)C(C)(C)O,172.3,1.72,2.0,2.0,40.5,5.0,0.62,2.0
JP002422,C=C[C@H](C)CCC(=O)CC(=O)OC,184.2,1.72,0.0,3.0,43.4,6.0,0.36,1.0
